t,X0,Vx0,Y0,Vy0,X1,Vx1,Y1,Vy1
0.0,-0.9999998077274156,0.0,0.0,0.2,0.9999998077274156,0.0,0.0,-0.2
0.12,-0.9997747980650095,0.007500582190182939,0.01199910201199777,0.1999549906472167,0.9997747980650095,-0.007500582190182939,-0.01199910201199777,-0.1999549906472167
0.24,-0.9990996651169545,0.015004678030266422,0.02399279845612202,0.19981985922781323,0.9990996651169545,-0.015004678030266422,-0.02399279845612202,-0.19981985922781323
0.36,-0.9979740928075285,0.022515807918644406,0.03597567378323956,0.19959429450184088,0.9979740928075285,-0.022515807918644406,-0.03597567378323956,-0.19959429450184088
0.48,-0.9963975552408199,0.03003750781087245,0.04794228928915595,0.19927777635870403,0.9963975552408199,-0.03003750781087245,-0.04794228928915595,-0.19927777635870403
0.6,-0.9943693121203699,0.03757333954962188,0.05988716760982753,0.1988695702095345,0.9943693121203699,-0.03757333954962188,-0.05988716760982753,-0.1988695702095345
0.72,-0.991888403754422,0.04512689966522719,0.07180477941809055,0.19836871909302406,0.991888403754422,-0.04512689966522719,-0.07180477941809055,-0.19836871909302406
0.84,-0.9889536583744414,0.05270182697848713,0.0836895318488958,0.1977740472988148,0.9889536583744414,-0.05270182697848713,-0.0836895318488958,-0.1977740472988148
0.96,-0.985563684301151,0.060301811814967445,0.09553575476920707,0.19708414827479073,0.985563684301151,-0.060301811814967445,-0.09553575476920707,-0.19708414827479073
1.08,-0.9817168657822993,0.06793060564526203,0.1073376860688985,0.19629737489164015,0.9817168657822993,-0.06793060564526203,-0.1073376860688985,-0.19629737489164015
1.2,-0.9774113595136816,0.07559203102260066,0.11908945630854335,0.19541182892115613,0.9774113595136816,-0.07559203102260066,-0.11908945630854335,-0.19541182892115613
1.3199999999999998,-0.9726450912571281,0.0832899894135742,0.13078507665553818,0.19442535203640396,0.9726450912571281,-0.0832899894135742,-0.13078507665553818,-0.19442535203640396
1.44,-0.967415751408754,0.09102846992015773,0.1424184253382779,0.19333551332606963,0.967415751408754,-0.09102846992015773,-0.1424184253382779,-0.19333551332606963
1.56,-0.9617207850904771,0.09881156920531307,0.15398321671793622,0.19213958175405324,0.9617207850904771,-0.09881156920531307,-0.15398321671793622,-0.19213958175405324
1.68,-0.9555573889443608,0.10664349779047015,0.16547299107640703,0.19083451745494925,0.9555573889443608,-0.10664349779047015,-0.16547299107640703,-0.19083451745494925
1.7999999999999998,-0.948922504020913,0.11452858599840911,0.17688110370814225,0.18941695023071284,0.948922504020913,-0.11452858599840911,-0.17688110370814225,-0.18941695023071284
1.92,-0.9418128079407381,0.12247130325022884,0.18820069525538552,0.18788315716344708,0.9418128079407381,-0.12247130325022884,-0.18820069525538552,-0.18788315716344708
2.04,-0.9342247043646578,0.13047627074218388,0.19942466960998922,0.18622902709293532,0.9342247043646578,-0.13047627074218388,-0.19942466960998922,-0.18622902709293532
2.16,-0.9261543167001302,0.13854827319895188,0.21054567513827474,0.1844500432903261,0.9261543167001302,-0.13854827319895188,-0.21054567513827474,-0.1844500432903261
2.28,-0.9175974736636023,0.14669227749965152,0.2215560715743362,0.18254123350945223,0.9175974736636023,-0.14669227749965152,-0.2215560715743362,-0.18254123350945223
2.4,-0.9085497024407168,0.1549134444888234,0.23244791088017602,0.1804971490886094,0.9085497024407168,-0.1549134444888234,-0.23244791088017602,-0.1804971490886094
2.52,-0.8990062119169995,0.16321715046241927,0.24321289689816977,0.178311800790539,0.8990062119169995,-0.16321715046241927,-0.24321289689816977,-0.178311800790539
2.6399999999999997,-0.8889618840181469,0.1716090005659543,0.25384236310889174,0.1759786316359107,0.8889618840181469,-0.1716090005659543,-0.25384236310889174,-0.1759786316359107
2.76,-0.8784112544113423,0.1800948532758041,0.2643272240951825,0.17349043563358318,0.8784112544113423,-0.1800948532758041,-0.2643272240951825,-0.17349043563358318
2.88,-0.8673485017656994,0.18868083583598247,0.2746579486561177,0.1708393210907893,0.8673485017656994,-0.18868083583598247,-0.2746579486561177,-0.1708393210907893
3.0,-0.8557674259039513,0.19737337154086318,0.28482450158350076,0.1680166083823802,0.8557674259039513,-0.19737337154086318,-0.28482450158350076,-0.1680166083823802
3.12,-0.8436614343138057,0.20617919807327403,0.2948163097339844,0.1650127787005017,0.8436614343138057,-0.20617919807327403,-0.2948163097339844,-0.1650127787005017
3.2399999999999998,-0.8310235177774735,0.2151053972819461,0.3046221925332861,0.1618173462728621,0.8310235177774735,-0.2151053972819461,-0.3046221925332861,-0.1618173462728621
3.36,-0.8178462334505427,0.2241594171658521,0.31423031769525833,0.1584187851829511,0.8178462334505427,-0.2241594171658521,-0.31423031769525833,-0.1584187851829511
3.48,-0.8041216790172961,0.23334910258360467,0.3236281227409435,0.15480437926161833,0.8041216790172961,-0.23334910258360467,-0.3236281227409435,-0.15480437926161833
3.5999999999999996,-0.7898414678040159,0.24268272500341304,0.33280224035542294,0.1509600811467181,0.7898414678040159,-0.24268272500341304,-0.33280224035542294,-0.1509600811467181
3.7199999999999998,-0.7749967037330066,0.2521690111229745,0.34173841649187053,0.14687035382391378,0.7749967037330066,-0.2521690111229745,-0.34173841649187053,-0.14687035382391378
3.84,-0.7595779540365711,0.261817173799728,0.35042142203120435,0.14251799525854855,0.7595779540365711,-0.261817173799728,-0.35042142203120435,-0.14251799525854855
3.96,-0.7435752163026215,0.27163694615948075,0.35883493334989225,0.13788388707185714,0.7435752163026215,-0.27163694615948075,-0.35883493334989225,-0.13788388707185714
